
   INFO  Server running on [http://adamclay.local:8004].  

  Press Ctrl+C to stop the server

  2025-07-03 17:26:21 /api/status .................................. ~ 0.19ms
  2025-07-03 17:26:22 /api/consciousness/thinking-status ........... ~ 0.16ms
  2025-07-03 17:26:24 /api/consciousness/thinking-status ........... ~ 0.15ms
  2025-07-03 17:26:25 /api/status .................................. ~ 0.16ms
  2025-07-03 17:26:30 /dashboard ................................... ~ 0.33ms
  2025-07-03 17:26:30 /api/status .................................. ~ 0.41ms
  2025-07-03 17:26:30 /api/consciousness/thinking-status ........... ~ 2.48ms
  2025-07-03 17:26:30 /api/thoughts/recent ......................... ~ 0.49ms
  2025-07-03 17:26:30 /api/status .................................. ~ 0.70ms
  2025-07-03 17:26:30 /api/consciousness/thinking-status ........... ~ 0.85ms
  2025-07-03 17:26:30 /api/thoughts/recent ......................... ~ 0.40ms
  2025-07-03 17:26:30 /favicon.ico ................................. ~ 0.07ms
  2025-07-03 17:26:31 /api/status .................................. ~ 1.15ms
  2025-07-03 17:26:32 /api/thoughts/recent ......................... ~ 0.16ms
  2025-07-03 17:26:33 /api/thoughts/recent ......................... ~ 0.17ms
  2025-07-03 17:26:35 /api/status .................................. ~ 0.17ms
  2025-07-03 17:26:37 /api/consciousness/thinking-status ......... ~ 505.51ms
  2025-07-03 17:26:39 /api/consciousness/thinking-status ........... ~ 0.39ms
  2025-07-03 17:26:40 /api/status .................................. ~ 0.12ms
  2025-07-03 17:26:40 /api/status ................................ ~ 500.91ms
  2025-07-03 17:26:41 /api/status .................................. ~ 0.27ms
  2025-07-03 17:26:45 /api/status .................................. ~ 0.48ms
  2025-07-03 17:26:46 /api/consciousness/thinking-status ........... ~ 0.13ms
  2025-07-03 17:26:46 /api/consciousness/thinking-status ........... ~ 0.06ms
  2025-07-03 17:26:50 /api/thoughts/recent ......................... ~ 0.10ms
  2025-07-03 17:26:50 /api/thoughts/recent ......................... ~ 0.58ms
  2025-07-03 17:26:50 /api/status .................................. ~ 0.52ms
  2025-07-03 17:26:50 /api/status ................................ ~ 507.13ms
  2025-07-03 17:26:51 /api/status .................................. ~ 0.62ms
  2025-07-03 17:26:52 /api/thoughts/recent ......................... ~ 0.53ms
  2025-07-03 17:26:52 /api/consciousness/thinking-status ........... ~ 2.28ms
  2025-07-03 17:26:53 /api/thoughts/recent ......................... ~ 0.18ms
  2025-07-03 17:26:54 /api/consciousness/thinking-status ........... ~ 0.65ms
  2025-07-03 17:26:55 /api/status .................................. ~ 0.39ms
  2025-07-03 17:27:00 /api/status .................................. ~ 2.93ms
  2025-07-03 17:27:00 /api/status .................................. ~ 5.34ms
  2025-07-03 17:27:01 /api/consciousness/thinking-status ........... ~ 0.37ms
  2025-07-03 17:27:01 /api/consciousness/thinking-status ........... ~ 1.26ms
  2025-07-03 17:27:01 /api/status .................................. ~ 0.11ms
  2025-07-03 17:27:05 /api/status .................................. ~ 0.46ms
  2025-07-03 17:27:08 /api/consciousness/thinking-status ........... ~ 0.88ms
  2025-07-03 17:27:10 /api/consciousness/thinking-status ........... ~ 0.66ms
  2025-07-03 17:27:10 /api/thoughts/recent ....................... ~ 507.14ms
  2025-07-03 17:27:10 /api/thoughts/recent ......................... ~ 0.20ms
  2025-07-03 17:27:10 /api/status .................................. ~ 1.77ms
  2025-07-03 17:27:10 /api/status .................................. ~ 1.65ms
  2025-07-03 17:27:12 /api/status .................................. ~ 0.27ms
  2025-07-03 17:27:13 /api/thoughts/recent ......................... ~ 0.25ms
  2025-07-03 17:27:14 /api/thoughts/recent ......................... ~ 0.66ms
  2025-07-03 17:27:16 /api/status .................................. ~ 0.29ms
